Артикул (Код товара);Наименование товара;Базовая цена в Евро;Валюта базовой цены;Привязка к разделу «Склад в Германии» ID:76;Дни доставки (цифра);Стоимость доставки, руб. (цифра);Дополнительно
100012201;"FANGMASCHINE ABSOLUTGRIP 
FINGER SURROUND";99,99;EUR;Склад в Германии;2;7000;
100015901;ELIMINATOR ABSOLUTGRIP  BIONIK+;99,99;EUR;Склад в Германии;2;7000;
100016201;ELIMINATOR  ABSOLUTGRIP RF;79,99;EUR;Склад в Германии;2;7000;
100016301;ELIMINATOR ABSOLUTGRIP ;69,99;EUR;Склад в Германии;2;7000;
100016401;ELIMINATOR SUPERSOFT BIONIK;79,99;EUR;Склад в Германии;2;7000;
100013101;PRO COMFORT TEXTILE;54,99;EUR;Склад в Германии;2;7000;
100016701;ELIMINATOR SUPERSOFT RF;59,99;EUR;Склад в Германии;2;7000;
100016801;ELIMINATOR SUPERSOFT ;59,99;EUR;Склад в Германии;2;7000;
100017101;ELIMINATOR SOFT SF  ;44,99;EUR;Склад в Германии;2;7000;
100017201;ELIMINATOR SOFT SF+ JUNIOR;44,99;EUR;Склад в Германии;2;7000;
100017501;ELIMINATOR SOFT RF COMP;49,99;EUR;Склад в Германии;2;7000;
100014001;FANGMASCHINE SOFT HN;29,99;EUR;Склад в Германии;2;7000;
100017901;ELIMINATOR SOFT RF;34,99;EUR;Склад в Германии;2;7000;
100018201;ELIMINATOR SOFT  ADVANCED;24,99;EUR;Склад в Германии;2;7000;
100018701;ELIMINATOR AQUASOFT RF;79,99;EUR;Склад в Германии;2;7000;
